date,time,venue,topic,presenter,paper_authors,paper_title,paper_venue,paper_year,slides_link,paper_link,arxiv_link
2019-05-21,,,,Marcus Klasson,Gupta,Imagine This! Scripts to Compositions to Videos,"Schwenk, Farhadi, Hoiem, Kembhavi. , ECCV",2018,https://www.csc.kth.se/cvap/cvg/rg/materials/marcus_001_slides.pdf,,
2019-05-07,,,,Shuangshuang Chen,Yingzhen Li,Disentangled Sequential Autoencoder,"Stephan Mandt. , ICML",2018,https://www.csc.kth.se/cvap/cvg/rg/materials/shuangshuang_001_slides.pdf,,
2019-04-23,,,,Patrik Barkman,Gordon,Meta-Learning Probabilistic Inference for Prediction,"J., Bronskill, J. F., Bauer, M., Nowozin, S., & Turner, R. E. , ICLR",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/patrik_001_slides.pdf,,
2019-04-09,,,,Sebastian Bujwid,Nguyen,,"Duy-Kien, and Takayuki Okatani. ""Improved fusion of visual and language representations by dense symmetric co-attention for visual question answering."" CVPR",2018,https://www.csc.kth.se/cvap/cvg/rg/materials/sebastian_001_slides.pdf,,
2019-03-26,,,,Miquel Marti,Ozen Sener and Vladlen Koltun,Multi-Task Learning as Multi-Objective Optimization,", NIPS",2018,https://www.csc.kth.se/cvap/cvg/rg/materials/miquel_001_slides.pdf,,
2019-03-12,,,,Qi Dang,"Toneva et al. ""AN EMPIRICAL STUDY OF EXAMPLE FORGETTING DURING DEEP NEURAL NETWORK LEARNING""",,ICLR,2019,https://www.csc.kth.se/cvap/cvg/rg/materials/qi_001_slides.pdf,,
2019-02-26,,,,Louise Rixon Fuchs,"Lin et al. ""Focal loss for dense object detection""",,PAMI,2018,https://www.csc.kth.se/cvap/cvg/rg/materials/louise_001_slides.pdf,,
2019-02-12,,,,Yue Liu,"Liu et al. ""Rethinking the Value of Network Pruning""",,ICLR,2019,https://www.csc.kth.se/cvap/cvg/rg/materials/yue_001_slides.pdf,,
2019-01-29,,,,Vladimir Li,Carreira&Zisserman,"Quo Vadis, Action Recognition? A New Model and the Kinetics Dataset",", CVPR",2017,https://www.csc.kth.se/cvap/cvg/rg/materials/vladimir_001_slides.pdf,,
2018-12-04,,,,Sofia Broome,"Feichtenhofer et al. ""What have we learned from deep representations for action recognition?""",,CVPR,2018,https://www.csc.kth.se/cvap/cvg/rg/materials/sofia_001_slides.pdf,,
2018-11-27,,,,Vahan Petrosyan,Vahan Petrosyan,"From Fast, Robust and Scalable Unsupervised Learning to Semi-Supervised Learning algorithms","Petrosyan&Proutiere. ""Viral clustering: A robust method to extract structures in heterogeneous datasets."", AAAI 2016Petrosyan&Proutiere. ""Viral initialization for spectral clustering."", ESANN 2017Petrosyan et al. ""Superpixel segmentation via penalized average linkage cuts"", WACV",2019,https://www.csc.kth.se/cvap/cvg/rg/materials/vahan_slides.pdf,,
2018-11-20,,,,Jevgenija Aksjonova,"Lunz et al. ""Adversarial Regularizers in Inverse Problems""",,NIPS,2018,https://www.csc.kth.se/cvap/cvg/rg/materials/jevgenija_001_slides.pdf,,
2018-11-06,,,,David Molin,"Rebuffi et al. ""Learning multiple visual domains with residual adapters""",,NIPS,2017,https://www.csc.kth.se/cvap/cvg/rg/materials/david_001_slides.pdf,,
2018-10-23,,,,Christos Matsoukas,"Furlanello et al. ""Born Again Neural Networks"" ICML 2018",,,,https://www.csc.kth.se/cvap/cvg/rg/materials/christos_001_slides.pdf,,
2018-10-09,,,,Emir Konuk,"Higgins et al. ""beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework"" ICLR 2017",,,,https://www.csc.kth.se/cvap/cvg/rg/materials/emir_001_slides.pdf,,
